conference_name,priority_level,attendees_500_plus,academic_acceptance_level,submission_tracks,travel_accommodation_sponsorship,cfp_deadline_MM-DD,cft_deadline_MM-DD,cfw_deadline_MM-DD,cfv_deadline_MM-DD,conference_start_date,conference_end_date,city,country,website_or_cfp_link,cft_link,cfw_link,cfv_link,conference_type,timezone,notes,last_verified_date,venue_pattern
8.8 Unreal Chile,High,Yes,Mixed,Talks,Unknown,08-10,TBD,TBD,TBD,2026-10-01,2026-10-02,Santiago,Chile,https://www.papercall.io/8dot8-unreal-chile,,,,In-Person,America/Santiago,8.8 Unreal 2026 8.8 Computer Security Conference 16th year Chile; Oct 1-2 Teatro Fundación CorpArtes CA660 Rosario Norte 660 Las Condes Santiago; theme 8.8 Unreal confías en lo que ves GenAI; CFP open PaperCall closes Aug 10 2026 13:25 UTC; alternate portal https://cfp.8dot8.org/ listed Aug 31 2026 verify which portal is canonical; https://unreal.8dot8.org/ tickets https://welcu.com/8dot8/88-unreal-2026/,2026-06-01,Mostly Fixed
[un]prompted,High,Yes,Industry,Talks,Unknown,08-07,TBD,TBD,TBD,2026-09-07,2026-09-10,San Francisco,United States,https://unpromptedcon.org/call-for-papers/,,,,In-Person,America/Los_Angeles,AI security practitioner conference nonprofit volunteer-run; second edition Sep 7-10 2026 San Francisco per official CFP; CFP closes Aug 7 2026 notifications Aug 21 early registration until Aug 7; six tracks offense defense program building policy demos encouraged; inaugural Mar 3-4 2026 hybrid physical and online ~700 attendees The Hibernia; videos and slides at https://unpromptedcon.org/abstract-march2026/; org https://www.linkedin.com/company/unpromptedcon/,2026-06-01,Fixed
ACM AsiaCCS,High,Yes,Academic,Talks,Unknown,12-12,TBD,TBD,TBD,2026-06-01,2026-06-05,Bangalore,India,https://asiaccs2026.cse.iitkgp.ac.in/important-dates/,,,,In-Person,Asia/Kolkata,"Official ASIACCS 2026 site lists conference dates June 1-5 2026 in Bangalore, India",2026-03-31,Rotating
ACM CCS,High,Yes,Academic,Talks,Unknown,01-14,TBD,TBD,TBD,2026-11-15,2026-11-19,The Hague,Netherlands,https://www.sigsac.org/ccs/CCS2026/call-for/call-for-papers.html,,,,In-Person,Europe/Amsterdam,"Official CCS 2026 site lists conference dates Nov 15-19 2026 in The Hague, Netherlands",2026-03-31,Rotating
ACM CoNEXT,Medium,Yes,Academic,Talks,Unknown,12-12,,,TBD,2026-12-07,2026-12-11,Utrecht,Netherlands,https://conferences.sigcomm.org/co-next/2026/,,,,In-Person,Europe/Amsterdam,Primary submission round has Dec 12 deadline and conference dates are listed on official site,2026-03-30,Rotating
ACM IMC,High,Yes,Academic,Talks,Unknown,04-29,,,TBD,2026-10-12,2026-10-16,Karlsruhe,Germany,https://conferences.sigcomm.org/imc/2026/cfp/,,,,In-Person,Europe/Berlin,Two-cycle CFP with cycle 2 paper deadline Apr 29 and replicability track available,2026-03-30,Rotating
ACSAC,Medium,Yes,Academic,Talks|Workshops,Unknown,TBD,TBD,TBD,TBD,2026-12-07,2026-12-11,Los Angeles,United States,https://www.acsac.org/,,https://www.acsac.org/,,In-Person,America/Los_Angeles,2026 edition confirmed Dec 7-11 in Los Angeles CA; 2026 CFP not yet announced (2025 deadline was May 30),2026-04-01,Rotating
Africa Cyber Defense Summit,Low,Yes,Industry,Talks,Yes,TBD,,,TBD,2024-06-01,2024-06-30,Nairobi,Kenya,https://www.africacyberdefense.com/,,,,In-Person,Africa/Nairobi,Added from requested 2024 conference list,2026-03-30,Unknown
Africahackon,Low,Yes,Industry,Talks|Workshops|CTF,Unknown,TBD,TBD,TBD,TBD,2026-08-13,2026-08-15,Nairobi,Kenya,https://www.africahackon.com/,,https://www.africahackon.com/,,In-Person,Africa/Nairobi,2026 dates Aug 13-15 at Sarit Expo Centre Westlands Nairobi; CFP deadline not yet published,2026-04-01,Unknown
AI Security Summit London,Medium,Yes,Industry,Talks,Unknown,04-17,TBD,TBD,TBD,2026-05-14,2026-05-14,London,United Kingdom,https://sessionize.com/ai-security-summit-london/,,,,In-Person,Europe/London,AISS 2026 Practitioner Track May 14 CodeNode 10 South Pl; 20 min demo-first talks; CFP closed Apr 17 2026; part of 5-city 2026 season on aisecuritysummit.com; https://www.linkedin.com/company/the-ai-security-summit/,2026-06-01,Rotating
